,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
12617,카페나무/중곡제일시장아리청정협동조합,,음식,커피점/카페,서울특별시,광진구,중곡1동,37.5638718511229,127.081745946557
12618,동심,,음식,커피점/카페,서울특별시,중구,명동,37.5592192830289,126.985584249694
12619,밀크팅,,음식,커피점/카페,서울특별시,관악구,대학동,37.4694655438712,126.936378494287
12620,마이그린테이블,,음식,커피점/카페,서울특별시,관악구,행운동,37.4796569479326,126.958688630095
12621,다방;구,,음식,커피점/카페,서울특별시,양천구,목4동,37.5336653576738,126.866652345688
12622,MEGAMGCCOFFEE메가엠지씨커피,한성대입구역점,음식,커피점/카페,서울특별시,성북구,성북동,37.5891088888379,127.00702082108
12623,엠프티폴더스,,음식,커피점/카페,서울특별시,관악구,행운동,37.4817283823832,126.95653421297
12624,카페,한내행복발전소북,음식,커피점/카페,서울특별시,노원구,월계3동,37.6265010290164,127.061966366957
12625,혜나루,,음식,커피점/카페,서울특별시,중구,소공동,37.5676488246419,126.973629477011
12626,카페,그자체베이커리,음식,커피점/카페,서울특별시,광진구,화양동,37.5445811200587,127.06918382366
12627,비비브라운,,음식,커피점/카페,서울특별시,강남구,청담동,37.5229531527734,127.040694786142
12628,해피커피,,음식,커피점/카페,서울특별시,성북구,월곡1동,37.6041165553575,127.037025985606
12629,어그리커피,,음식,커피점/카페,서울특별시,강남구,역삼1동,37.5038751174476,127.027140547579
12630,카페마노,아CAFEMANOA,음식,커피점/카페,서울특별시,성북구,동선동,37.5909226044336,127.018104890661
12631,냠커피,,음식,커피점/카페,서울특별시,도봉구,도봉1동,37.6717855423937,127.042715519055
12632,파라다이스커피,,음식,커피점/카페,서울특별시,노원구,중계2.3동,37.6454566375766,127.065093528942
12633,와플대학,신도림캠퍼스,음식,커피점/카페,서울특별시,구로구,신도림동,37.5090348833153,126.886965798897
12634,베러댄와플,사당점,음식,커피점/카페,서울특별시,동작구,사당1동,37.478465980406,126.979158207255
12635,커피향기,,음식,커피점/카페,서울특별시,동대문구,휘경2동,37.5814816360793,127.072947677673
12636,나,나랜드,음식,커피점/카페,서울특별시,동대문구,답십리1동,37.5660308636762,127.05503917695
12637,글로벌지식협력단지편의시설,,음식,커피점/카페,서울특별시,동대문구,청량리동,37.5950126760061,127.042148504388
12638,카페문,,음식,커피점/카페,서울특별시,광진구,자양4동,37.5354062315151,127.063210429146
12639,커피베이,상월곡역점,음식,커피점/카페,서울특별시,성북구,석관동,37.607094859158,127.05097493862
12640,큐커피향,,음식,커피점/카페,서울특별시,서초구,방배3동,37.4762147697113,126.987702209653
12641,커피베이,남영역점,음식,커피점/카페,서울특별시,용산구,남영동,37.5415708874019,126.972391550719
12642,매머드커피장교빌딩점,,음식,커피점/카페,서울특별시,중구,명동,37.5671519360146,126.987038796717
12643,아리스타,커피한강성심병원점,음식,커피점/카페,서울특별시,영등포구,영등포동,37.5229665678598,126.910323670475
12644,허유산코리아,강남점,음식,커피점/카페,서울특별시,서초구,서초4동,37.5020057702087,127.024450433189
12645,카페,신사쥬시,음식,커피점/카페,서울특별시,관악구,신사동,37.4870976254222,126.915401839888
12646,카페플럼,,음식,커피점/카페,서울특별시,강남구,대치4동,37.5014006005161,127.055311431966
12647,커피로그,,음식,커피점/카페,서울특별시,성북구,석관동,37.608871063544,127.062391699483
12648,아데네,,음식,커피점/카페,서울특별시,동작구,신대방2동,37.497196738586,126.920141299377
12649,윈스컴퍼니,,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5086558580626,127.057787580824
12650,에프앤에프,홍대점,음식,커피점/카페,서울특별시,마포구,서교동,37.5522583611291,126.923964808784
12651,카페,트리니티,음식,커피점/카페,서울특별시,금천구,시흥1동,37.4571600291812,126.900270118078
12652,피규어카페피카,,음식,커피점/카페,서울특별시,영등포구,여의동,37.5259625804366,126.916694782518
12653,도피오커피,건국대병원점,음식,커피점/카페,서울특별시,광진구,화양동,37.5390559369817,127.074695272526
12654,시아아틀리에siaatelier,,음식,커피점/카페,서울특별시,송파구,문정1동,37.4891593187799,127.123652806643
12655,솔카페,,음식,커피점/카페,서울특별시,강서구,방화1동,37.5723497471243,126.81735495937
12656,ILNOCE,,음식,커피점/카페,서울특별시,서초구,서초2동,37.4906123669241,127.030524107463
